CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
F29465,5437,E,2.0,50:09.0,11/09/2019,11/09/2019 00:00,11/09/2019,,858.35,0.0,0.0
F29466,6179,E,1.0,02:44.0,11/09/2019,11/09/2019 00:00,11/09/2019,,2623.8,0.0,0.0
F29467,3032,E,2.0,16:23.0,11/09/2019,11/09/2019 00:00,11/09/2019,,1044.76,0.0,0.0
F29468,6158,E,2.0,47:29.0,11/09/2019,11/09/2019 00:00,11/09/2019,,516.3,0.0,0.0
F29469,5953,E,2.0,19:45.0,11/09/2019,11/09/2019 00:00,11/09/2019,,258.66,0.0,0.0
F29470,125,E,2.0,38:24.0,11/09/2019,11/09/2019 00:00,11/09/2019,,500.0,0.0,0.0
F29471,6016,E,2.0,02:15.0,11/09/2019,11/09/2019 00:00,11/09/2019,,280.0,0.0,0.0
F29474,960,E,2.0,34:55.0,11/09/2019,11/09/2019 00:00,26/09/2019,,1059.89,0.0,0.0
F29475,6805,E,2.0,43:29.0,11/09/2019,11/09/2019 00:00,11/09/2019,,3253.4,0.0,0.0
F29476,6836,E,2.0,49:38.0,11/09/2019,11/09/2019 00:00,11/09/2019,,357.0,0.0,0.0
F29477,925,E,1.0,35:00.0,11/09/2019,11/09/2019 00:00,10/11/2019,,1800.0,0.0,0.0
F29478,4598,E,1.0,50:31.0,11/09/2019,11/09/2019 00:00,11/10/2019,,12213.0,0.0,0.0
F29479,1240,E,2.0,38:45.0,11/09/2019,11/09/2019 00:00,11/09/2019,,4135.0,0.0,0.0
F29480,5718,E,3.0,14:06.0,12/09/2019,12/09/2019 00:00,12/10/2019,,10264.95,0.0,0.0
F29481,4598,E,1.0,27:46.0,12/09/2019,12/09/2019 00:00,12/10/2019,,10327.1,0.0,0.0
F29482,5926,E,2.0,42:46.0,12/09/2019,12/09/2019 00:00,12/09/2019,,167.24,0.0,0.0
F29483,6829,E,2.0,02:17.0,12/09/2019,12/09/2019 00:00,12/09/2019,,474.27,0.0,0.0
F29484,5780,E,2.0,57:45.0,12/09/2019,12/09/2019 00:00,12/09/2019,,3616.555,0.0,0.0
